                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.99834,                 1.0218,                 1.2115,                0.57829,                0.45807,                0.47791,                0.31688,                 1.2691,                  1.756,                 1.4739,               0.004126,               0.004126,               0.004126
                     91,                0.99762,                 1.0237,                 1.2128,                0.58797,                0.45494,                0.47696,                 0.3164,                 1.2676,                 1.7558,                 1.4729,                0.00406,                0.00406,                0.00406
                     92,                 1.0036,                  1.029,                 1.2137,                0.57571,                0.46576,                0.47716,                0.31642,                 1.2674,                 1.7556,                 1.4724,               0.003994,               0.003994,               0.003994
                     93,                 1.0053,                 1.0304,                 1.2144,                0.58147,                 0.4655,                 0.4777,                0.31692,                 1.2659,                 1.7566,                 1.4708,               0.003928,               0.003928,               0.003928
                     94,                 1.0005,                 1.0248,                 1.2097,                0.58975,                0.46063,                0.47717,                0.31654,                 1.2659,                 1.7562,                 1.4706,               0.003862,               0.003862,               0.003862
                     95,                0.99992,                 1.0206,                 1.2076,                0.59882,                0.45601,                0.47873,                0.31778,                 1.2671,                 1.7574,                 1.4718,               0.003796,               0.003796,               0.003796
                     96,                0.99904,                 1.0212,                 1.2063,                0.60243,                0.45088,                0.47879,                0.31875,                 1.2649,                 1.7571,                 1.4699,                0.00373,                0.00373,                0.00373
                     97,                0.99688,                 1.0157,                  1.205,                0.60374,                0.45173,                0.47856,                0.31815,                 1.2636,                 1.7545,                 1.4684,               0.003664,               0.003664,               0.003664
                     98,                0.99326,                 1.0077,                 1.2007,                0.59283,                0.45678,                0.47774,                0.31783,                 1.2633,                 1.7508,                 1.4662,               0.003598,               0.003598,               0.003598
                     99,                0.98816,                0.99673,                 1.1966,                 0.6175,                0.44576,                0.47768,                0.31764,                 1.2644,                 1.7498,                 1.4659,               0.003532,               0.003532,               0.003532
                    100,                0.98732,                0.99828,                  1.195,                0.60529,                0.45506,                 0.4782,                0.31797,                 1.2644,                 1.7488,                 1.4639,               0.003466,               0.003466,               0.003466
                    101,                0.98344,                0.99229,                 1.1936,                0.60863,                0.45396,                0.47903,                0.31851,                 1.2614,                 1.7495,                 1.4604,                 0.0034,                 0.0034,                 0.0034
                    102,                0.97921,                0.98821,                   1.19,                 0.6032,                0.45421,                0.47911,                0.31824,                 1.2582,                 1.7496,                 1.4576,               0.003334,               0.003334,               0.003334
                    103,                0.97784,                 0.9779,                 1.1863,                0.59747,                0.45576,                0.47849,                0.31695,                 1.2572,                 1.7531,                 1.4558,               0.003268,               0.003268,               0.003268
                    104,                0.97231,                0.97157,                 1.1832,                0.60788,                0.45422,                0.47949,                 0.3172,                 1.2566,                 1.7497,                 1.4538,               0.003202,               0.003202,               0.003202
                    105,                0.97137,                0.96967,                 1.1827,                0.60708,                0.45134,                0.47868,                0.31621,                 1.2594,                 1.7532,                 1.4557,               0.003136,               0.003136,               0.003136
                    106,                0.96571,                0.95997,                 1.1781,                0.59738,                0.45858,                0.47816,                0.31507,                 1.2653,                 1.7593,                 1.4601,                0.00307,                0.00307,                0.00307
                    107,                 0.9606,                0.95722,                 1.1744,                0.60161,                0.45601,                0.47816,                0.31482,                 1.2676,                 1.7634,                  1.461,               0.003004,               0.003004,               0.003004
                    108,                0.95947,                0.95074,                 1.1722,                0.59406,                 0.4614,                0.47704,                0.31462,                 1.2699,                 1.7665,                 1.4615,               0.002938,               0.002938,               0.002938
